timestamp_utc,ao_mv,moisture_pct,air_temp_c,humidity_pct
2026-08-24T16:30:45Z,3139,0.0,,
2026-08-24T16:30:46Z,3139,0.0,,
2026-08-24T16:30:47Z,3139,0.0,,
2026-08-24T16:30:48Z,3139,0.0,,
2026-08-24T16:30:49Z,3139,0.0,,
2026-08-24T16:30:50Z,3139,0.0,,
2026-08-24T16:30:51Z,3139,0.0,,
2026-08-24T16:30:52Z,3139,0.0,,
2026-08-24T16:30:53Z,3139,0.0,,
2026-08-24T16:30:54Z,3139,0.0,,
2026-08-24T16:30:55Z,3139,0.0,,
2026-08-24T16:30:56Z,3139,0.0,,
2026-08-24T16:30:57Z,3139,0.0,,
2026-08-24T16:30:58Z,3139,0.0,,
2026-08-24T16:30:59Z,3139,0.0,,
2026-08-24T16:31:00Z,3139,0.0,,
2026-08-24T16:31:01Z,3139,0.0,,
2026-08-24T16:31:02Z,3139,0.0,,
2026-08-24T16:31:03Z,3139,0.0,,
2026-08-24T16:31:04Z,3139,0.0,,
2026-08-24T16:31:05Z,3139,0.0,,
2026-08-24T16:31:06Z,3139,0.0,,
2026-08-24T16:31:07Z,3139,0.0,,
2026-08-24T16:31:08Z,3139,0.0,,
2026-08-24T16:31:09Z,3139,0.0,,
2026-08-24T16:31:10Z,3139,0.0,,
2026-08-24T16:31:11Z,3139,0.0,,
2026-08-24T16:31:12Z,3139,0.0,,
2026-08-24T16:31:13Z,3139,0.0,,
2026-08-24T16:31:14Z,3139,0.0,,
2026-08-24T16:31:15Z,3139,0.0,,
2026-08-24T16:31:16Z,3139,0.0,,
2026-08-24T16:31:17Z,3139,0.0,,
2026-08-24T16:31:18Z,3139,0.0,,
2026-08-24T16:31:19Z,3139,0.0,,
2026-08-24T16:31:20Z,3139,0.0,,
2026-08-24T16:31:21Z,3139,0.0,,
2026-08-24T16:31:22Z,3139,0.0,,
2026-08-24T16:31:23Z,3139,0.0,,
2026-08-24T16:31:24Z,3139,0.0,,
2026-08-24T16:31:25Z,3139,0.0,,
2026-08-24T16:31:26Z,3139,0.0,,
2026-08-24T16:31:27Z,3139,0.0,,
2026-08-24T16:31:28Z,3139,0.0,,
2026-08-24T16:31:29Z,3139,0.0,,
2026-08-24T16:31:30Z,3139,0.0,,
2026-08-24T16:31:31Z,3139,0.0,,
2026-08-24T16:31:32Z,3139,0.0,,
2026-08-24T16:31:33Z,3139,0.0,,
2026-08-24T16:31:34Z,3139,0.0,,
2026-08-24T16:31:35Z,3139,0.0,,
2026-08-24T16:31:36Z,3139,0.0,,
2026-08-24T16:31:37Z,3139,0.0,,
2026-08-24T16:31:38Z,3139,0.0,,
2026-08-24T16:31:39Z,3139,0.0,,
2026-08-24T16:31:40Z,3139,0.0,,
2026-08-24T16:31:41Z,3139,0.0,,
2026-08-24T16:31:42Z,3139,0.0,,
2026-08-24T16:31:43Z,3139,0.0,,
2026-08-24T16:31:44Z,3139,0.0,,
2026-08-24T16:31:45Z,3139,0.0,,
2026-08-24T16:31:46Z,3139,0.0,,
2026-08-24T16:31:47Z,3139,0.0,,
2026-08-24T16:31:48Z,3139,0.0,,
2026-08-24T16:31:49Z,3139,0.0,,
2026-08-24T16:31:50Z,3139,0.0,,
2026-08-24T16:31:51Z,3139,0.0,,
2026-08-24T16:31:52Z,3139,0.0,,
2026-08-24T16:31:53Z,3139,0.0,,
2026-08-24T16:31:54Z,3139,0.0,,
2026-08-24T16:31:55Z,3139,0.0,,
2026-08-24T16:31:56Z,3139,0.0,,
2026-08-24T16:31:57Z,3139,0.0,,
2026-08-24T16:31:58Z,3139,0.0,,
2026-08-24T16:31:59Z,3139,0.0,,
2026-08-24T16:32:00Z,3139,0.0,,
2026-08-24T16:32:01Z,3139,0.0,,
2026-08-24T16:32:02Z,3139,0.0,,
2026-08-24T16:32:03Z,3139,0.0,,
2026-08-24T16:32:04Z,3139,0.0,,
2026-08-24T16:32:05Z,3139,0.0,,
2026-08-24T16:32:06Z,3139,0.0,,
2026-08-24T16:32:07Z,3139,0.0,,
2026-08-24T16:32:08Z,3139,0.0,,
2026-08-24T16:32:09Z,3139,0.0,,
2026-08-24T16:32:10Z,3139,0.0,,
2026-08-24T16:32:11Z,3139,0.0,,
2026-08-24T16:32:12Z,3139,0.0,,
2026-08-24T16:32:13Z,3139,0.0,,
2026-08-24T16:32:14Z,3139,0.0,,
2026-08-24T16:32:15Z,3139,0.0,,
2026-08-24T16:32:16Z,3139,0.0,,
